Kingdom,Phylum,Class,Order,Family,Genus,Species
1,2,3,4,4,40,83
1,2,2,13,43,91,99
1,1,1,2,2,2,2
1,2,3,4,4,30,34
1,2,3,4,4,30,34
1,2,2,13,43,91,99
1,2,3,4,4,4,5
1,2,14,49,81,149,170
1,2,18,33,58,133,152
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,3,4,4,35,39
1,1,13,27,45,83,90
1,1,1,2,2,2,2
1,2,18,33,58,130,147
1,1,1,2,2,2,2
1,2,2,3,6,7,8
1,2,3,4,4,30,34
1,2,7,8,46,84,91
1,1,1,1,1,1,3
1,2,7,8,21,80,87
1,1,13,18,29,52,57
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,18,33,58,133,152
1,1,1,1,1,1,72
1,1,13,18,29,52,57
1,2,3,4,4,11,13
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,2,3,4,4,4,5
1,1,16,26,44,81,88
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,5,6,42,76,82
1,1,1,2,41,75,81
1,2,7,8,46,84,91
1,1,13,18,29,52,57
1,2,3,4,4,30,34
1,2,3,4,4,35,39
1,1,13,18,29,52,57
1,2,3,4,4,94,102
1,2,3,4,4,13,167
1,2,3,4,4,30,34
1,2,3,4,4,4,5
1,1,12,17,28,51,56
1,1,1,1,1,1,3
1,2,3,4,4,11,13
1,2,2,36,63,122,133
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,3,37,46
1,1,16,32,56,107,116
1,2,7,8,46,84,91
1,1,13,18,29,52,57
1,2,3,4,4,30,34
1,1,10,16,27,65,70
1,1,1,2,41,75,81
1,1,13,27,45,83,90
1,2,3,4,4,11,13
1,1,16,26,44,81,88
1,1,1,2,2,12,14
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,2,13,48,92,100
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,3,4,4,35,39
1,1,16,26,44,81,88
1,2,2,3,6,7,8
1,2,2,13,43,91,99
1,1,13,27,45,83,90
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,2,2,13,43,91,99
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,13,43,91,99
1,2,3,4,4,11,13
1,2,2,36,63,122,133
1,2,15,25,40,86,138
1,2,3,4,4,5,148
1,2,2,3,15,23,26
1,1,1,2,2,2,2
1,2,2,36,63,122,133
1,1,1,2,2,2,2
1,2,2,3,15,23,26
1,2,5,6,42,76,82
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,2,2,3,6,7,8
1,2,3,4,4,11,13
1,1,13,27,45,83,90
1,1,1,1,1,1,3
1,2,2,13,43,91,99
1,2,2,13,43,91,99
1,1,1,2,41,75,81
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,2,3,4,4,131,150
1,2,3,4,4,11,13
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,7,8,46,84,91
1,2,3,4,4,13,167
1,2,3,4,4,30,34
1,2,2,13,43,95,103
1,1,10,12,17,26,29
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,2,3,4,4,30,34
1,1,1,1,1,1,1
1,1,13,27,45,83,90
1,1,1,2,2,2,2
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,1,13,18,29,52,57
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,35,39
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,46,84,91
1,2,2,3,15,23,26
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,1,16,26,44,81,88
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,35,39
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,3,4,4,11,13
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,1,13,20,31,57,62
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,2,5,6,32,58,63
1,2,5,6,9,14,16
1,1,16,26,44,81,88
1,2,2,13,43,91,99
1,1,10,12,17,26,29
1,1,16,26,44,81,88
1,1,1,2,2,2,2
1,2,18,33,58,133,152
1,1,16,26,44,81,88
1,1,1,1,1,1,1
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,3,3,37,46
1,1,1,1,1,1,3
1,1,1,2,2,2,2
1,1,13,20,31,57,62
1,2,3,4,4,30,34
1,1,1,2,2,2,2
1,2,2,13,43,91,99
1,2,3,4,4,11,13
1,1,1,2,2,2,24
1,2,22,40,69,134,153
1,1,1,2,2,2,2
1,2,7,8,46,84,91
1,1,13,18,29,52,57
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,3,4,4,11,13
1,1,13,27,45,83,90
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,35,39
1,1,1,2,2,2,2
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,7,8,46,84,91
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,13,18,89,97
1,1,13,27,45,83,90
1,2,3,4,4,11,13
1,2,2,13,19,72,78
1,2,3,4,4,35,39
1,2,2,13,43,91,99
1,1,1,2,2,2,2
1,2,6,7,10,55,60
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,3,4,4,11,13
1,2,7,8,46,84,91
1,2,3,4,4,11,13
1,1,13,18,29,52,57
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,3,4,4,30,34
1,1,1,2,2,118,169
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,49,93,101
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,1,13,27,45,83,90
1,2,2,13,43,91,99
1,2,18,33,58,133,152
1,2,2,13,48,92,100
1,2,3,4,4,30,34
1,1,1,2,2,2,2
1,2,2,3,3,37,46
1,2,2,13,43,91,99
1,1,13,27,45,83,90
1,2,2,13,43,91,99
1,2,5,6,42,76,82
1,2,3,4,4,79,86
1,1,10,22,36,124,137
1,2,2,13,43,91,99
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,2,2,13,43,77,84
1,1,13,18,29,52,57
1,1,1,1,1,1,72
1,1,1,2,2,2,2
1,1,1,1,1,1,9
1,1,13,27,45,83,90
1,2,2,3,6,7,8
1,2,3,4,4,30,34
1,1,13,18,29,52,57
1,2,3,4,4,30,34
1,2,18,33,58,133,152
1,1,13,18,29,52,57
1,1,1,1,1,1,1
1,2,3,4,4,11,13
1,2,2,13,43,95,103
1,2,2,3,6,7,8
1,1,1,1,1,1,9
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,3,4,4,40,83
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,16,26,44,81,88
1,2,15,25,40,86,138
1,2,3,4,4,11,13
1,2,2,13,43,91,99
1,2,5,6,49,93,101
1,2,2,13,43,95,103
1,2,3,4,4,11,13
1,2,7,8,46,84,91
1,2,2,36,63,122,133
1,2,2,13,48,92,100
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,13,18,29,52,57
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,2,7,8,46,84,91
1,2,3,4,4,4,5
1,2,3,4,4,11,13
1,2,2,13,43,91,99
1,2,2,13,22,39,43
1,2,2,3,3,129,145
1,2,2,3,6,7,8
1,2,3,4,4,11,13
1,1,1,1,1,1,9
1,1,13,18,29,52,57
1,2,3,4,4,30,34
1,1,13,18,29,52,57
1,2,2,13,18,89,97
1,2,2,36,63,122,133
1,2,7,8,21,85,92
1,2,3,4,4,109,118
1,2,3,4,4,19,21
1,2,2,13,18,89,97
1,2,7,8,21,34,38
1,2,2,13,18,89,97
1,2,7,8,21,34,38
1,2,18,33,58,130,147
1,2,5,6,42,76,82
1,1,10,12,17,66,140
1,2,3,4,4,69,75
1,2,3,4,4,40,44
1,1,10,12,17,49,54
1,2,7,8,21,85,92
1,2,5,6,42,76,82
1,2,22,40,69,134,153
1,2,3,4,4,69,75
1,2,3,4,4,94,102
1,2,18,33,58,133,152
1,2,3,4,4,35,39
1,1,12,17,28,150,171
1,2,7,8,21,85,92
1,2,7,8,21,85,92
1,2,3,4,4,19,21
1,2,3,4,4,79,130
1,2,18,33,58,133,152
1,2,3,4,4,13,15
1,2,18,33,58,130,147
1,2,2,13,43,91,99
1,3,23,42,71,137,156
1,2,5,6,42,76,82
1,2,3,4,4,69,75
1,2,3,4,4,69,75
1,2,3,4,4,19,21
1,2,7,8,21,85,92
1,1,10,12,17,66,140
1,2,3,4,4,11,13
1,2,3,4,4,28,31
1,1,10,12,17,66,140
1,2,5,10,14,20,22
1,2,7,8,21,85,92
1,2,5,10,82,151,172
1,2,3,4,4,5,6
1,2,3,4,4,40,44
1,1,1,2,41,75,81
1,2,5,6,20,56,61
1,2,7,8,21,85,92
1,2,7,8,46,84,91
1,2,2,13,18,27,32
1,2,18,33,58,133,152
1,1,1,2,41,75,81
1,2,2,13,19,31,35
1,1,10,19,30,54,59
1,1,21,39,68,132,151
1,2,2,13,18,27,32
1,2,6,7,10,55,60
1,2,7,8,21,34,146
1,2,2,13,18,27,32
1,2,7,8,21,80,87
1,2,2,3,3,129,145
1,2,2,13,19,31,35
1,2,2,13,18,27,32
1,1,24,44,74,141,160
1,2,2,3,3,37,46
1,1,10,22,36,124,137
1,1,25,45,76,147,166
1,2,7,8,21,85,92
1,2,2,3,3,37,46
1,2,2,3,6,7,8
1,2,2,13,18,27,32
1,1,24,44,74,141,160
1,2,5,6,20,56,61
1,2,2,3,3,37,46
1,1,16,32,56,107,116
1,2,5,10,14,20,22
1,2,18,33,58,133,152
1,2,3,4,4,25,28
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,3,3,37,41
1,1,10,19,30,54,59
1,1,13,18,29,52,57
1,2,2,3,3,37,46
1,2,2,13,19,31,35
1,1,10,16,59,116,126
1,2,7,8,21,85,92
1,2,2,13,18,27,32
1,2,2,3,3,37,46
1,1,24,44,74,141,160
1,2,5,6,20,45,50
1,2,7,8,21,85,96
1,1,1,1,1,1,72
1,3,19,37,64,123,135
1,2,2,3,3,129,145
1,2,14,50,83,152,173
1,2,2,3,3,37,46
1,1,1,34,60,117,127
1,1,10,16,27,82,89
1,2,2,3,3,37,46
1,2,15,25,40,74,80
1,2,15,25,40,74,80
1,1,1,2,2,12,14
1,2,2,3,3,37,46
1,2,2,51,84,153,174
1,1,10,16,27,82,89
1,2,2,3,3,37,41
1,1,10,16,27,65,70
1,2,2,13,18,27,32
1,1,1,2,41,75,81
1,2,3,4,4,19,21
1,2,15,25,40,86,138
1,2,5,10,14,20,22
1,2,2,3,15,23,26
1,1,10,19,30,54,59
1,2,5,6,20,56,61
1,1,1,2,41,75,81
1,2,3,4,4,25,28
1,2,7,8,21,85,92
1,1,10,19,30,54,59
1,1,25,45,76,147,166
1,2,7,8,21,85,92
1,2,2,13,19,31,35
1,2,2,51,84,153,174
1,2,5,6,20,56,61
1,1,10,22,85,154,175
1,1,1,2,2,2,2
1,2,2,51,84,153,174
1,2,2,3,3,37,46
1,2,2,3,3,37,46
1,2,7,8,21,85,92
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,13,19,72,78
1,2,5,6,20,56,61
1,2,2,3,3,37,41
1,2,7,8,21,85,92
1,2,2,13,18,27,32
1,1,24,44,74,141,160
1,2,3,4,4,40,44
1,2,5,10,14,20,22
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,3,6,7,8
1,2,2,3,3,37,46
1,2,2,3,3,129,145
1,2,5,6,20,45,50
1,2,2,3,3,37,46
1,2,2,13,19,72,78
1,2,5,10,14,20,22
1,2,18,33,58,133,152
1,2,5,10,14,70,76
1,2,3,4,4,25,28
1,2,2,13,18,27,32
1,2,5,6,54,104,112
1,2,15,25,40,86,138
1,2,18,33,58,133,152
1,2,7,8,13,18,20
1,2,5,6,49,93,101
1,1,25,45,76,147,166
1,2,2,13,19,72,78
1,2,2,13,19,72,78
1,1,25,45,76,147,166
1,2,2,3,3,37,46
1,2,3,4,4,25,28
1,1,1,31,52,101,109
1,2,2,13,18,27,32
1,1,16,26,44,81,88
1,2,2,13,18,27,32
1,1,1,2,2,12,14
1,2,2,13,18,27,32
1,2,2,3,3,21,23
1,2,7,8,21,85,92
1,2,18,33,58,133,152
1,2,5,6,20,56,61
1,2,5,6,42,76,82
1,2,2,3,6,7,8
1,2,3,4,4,131,150
1,2,5,6,42,76,82
1,2,5,6,55,105,113
1,2,5,6,42,76,82
1,3,23,48,80,148,168
1,1,9,11,16,24,27
1,1,4,5,5,6,7
1,2,2,3,8,10,12
1,2,5,6,42,76,82
1,1,26,47,79,146,165
1,1,4,5,5,6,7
1,2,5,6,42,76,82
1,2,2,3,8,10,12
1,1,26,47,79,146,165
1,2,3,4,4,131,150
1,2,5,6,20,56,61
1,2,3,4,4,19,149
1,1,9,11,16,24,27
1,1,4,5,5,6,7
1,2,5,6,42,76,82
1,3,19,52,86,155,176
1,2,7,8,11,16,18
1,3,19,52,86,155,176
1,1,4,5,5,6,7
1,2,2,13,43,91,99
1,1,17,28,47,88,95
1,2,5,6,42,76,82
1,2,5,6,42,76,82
1,2,14,21,34,60,65
1,2,7,8,11,16,18
1,2,2,3,6,7,8
1,2,5,6,42,76,82
1,1,13,18,29,52,57
1,1,17,28,47,88,95
1,1,4,5,5,6,7
1,2,5,6,49,93,101
1,2,8,9,12,17,19
1,2,2,3,8,10,12
1,1,10,22,36,124,137
1,2,14,21,34,60,65
1,2,5,6,42,76,82
1,2,5,6,42,76,82
1,2,3,4,4,33,37
1,2,3,4,4,79,130
1,2,5,6,42,76,82
1,2,5,6,20,56,61
1,2,5,6,67,128,144
1,1,17,28,47,88,95
1,2,5,6,42,76,82
1,3,19,52,86,155,176
1,1,4,5,5,6,7
1,2,2,13,19,31,35
1,2,3,4,4,79,130
1,3,19,52,86,155,176
1,2,3,4,4,11,13
1,2,7,8,11,16,18
1,2,14,21,34,60,65
1,2,5,6,42,76,82
1,1,10,22,36,124,137
1,1,13,27,45,83,90
1,2,8,9,12,17,19
1,2,5,6,67,128,144
1,3,19,52,86,155,176
1,1,4,5,5,6,7
1,2,3,4,4,33,37
1,2,3,4,4,33,37
1,2,5,6,42,76,82
1,2,2,3,8,10,12
1,2,3,4,4,79,130
1,2,5,6,42,76,82
1,3,19,52,86,155,176
1,2,5,6,42,76,82
1,1,4,5,5,6,7
1,2,5,6,67,128,144
1,2,3,4,4,79,130
1,3,23,42,71,137,156
1,2,5,6,42,76,82
1,2,2,13,18,29,33
1,2,2,3,8,10,12
1,1,4,5,5,6,7
1,1,9,11,16,24,27
1,1,17,28,47,88,95
1,1,17,28,47,88,95
1,2,5,6,42,76,82
1,1,26,47,79,146,165
1,2,14,29,50,96,104
1,1,9,11,16,24,27
1,2,5,6,20,56,61
1,2,3,4,4,79,130
1,2,8,9,12,17,19
1,2,5,6,42,76,82
1,2,5,6,42,76,82
1,1,26,47,79,146,165
1,2,5,6,42,76,82
1,2,7,8,11,16,18
1,2,5,6,20,56,61
1,2,3,4,4,19,21
1,2,5,6,42,76,82
1,2,5,6,55,105,113
1,2,2,3,3,129,145
1,2,5,6,67,128,144
1,3,19,52,86,155,176
1,2,5,6,42,76,82
1,1,9,11,16,24,27
1,1,10,16,27,65,70
1,1,10,12,17,156,177
1,1,20,38,65,125,139
1,2,5,6,20,56,61
1,1,11,15,26,47,52
1,2,3,4,4,5,114
1,2,2,3,3,21,23
1,1,1,2,2,12,14
1,2,3,4,4,11,13
1,2,7,8,21,108,117
1,2,2,36,63,122,133
1,2,7,8,21,80,87
1,2,3,4,4,19,21
1,1,13,20,31,57,62
1,1,1,2,2,12,14
1,1,10,16,27,65,70
1,1,1,2,2,2,2
1,1,10,16,27,65,70
1,1,13,20,31,57,62
1,2,7,8,21,80,87
1,2,2,3,6,7,8
1,1,10,16,27,65,70
1,1,10,12,17,26,29
1,1,10,12,17,156,177
1,1,10,16,27,65,70
1,1,10,16,27,65,70
1,2,7,8,21,108,117
1,1,10,19,30,54,59
1,1,1,31,52,101,109
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,1,10,12,17,26,29
1,2,3,4,4,5,148
1,1,10,16,27,65,70
1,1,10,19,30,54,59
1,2,3,4,4,79,86
1,1,10,16,27,61,66
1,1,10,12,17,156,177
1,1,10,23,87,157,178
1,1,1,2,2,12,14
1,1,1,2,2,12,14
1,1,12,17,28,51,56
1,1,1,2,2,2,2
1,2,2,13,22,39,43
1,1,1,1,1,1,3
1,1,10,16,27,65,70
1,1,10,16,27,65,70
1,2,2,3,3,129,145
1,1,1,2,41,75,81
1,1,24,44,74,141,160
1,1,1,2,2,12,14
1,1,1,2,2,2,2
1,1,11,15,26,47,52
1,1,1,2,2,12,14
1,1,10,12,17,66,140
1,2,5,6,67,128,144
1,1,1,2,2,2,2
1,1,11,15,26,47,52
1,2,7,8,21,85,92
1,1,10,16,27,65,70
1,2,7,8,21,80,87
1,1,1,2,2,2,2
1,1,10,16,27,65,70
1,1,1,2,2,12,14
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,2,18,33,58,130,147
1,1,10,16,27,65,70
1,2,2,13,18,29,33
1,2,18,33,58,130,147
1,1,10,19,30,54,59
1,1,1,2,2,2,2
1,1,10,19,30,54,59
1,1,10,16,27,65,70
1,1,1,2,2,12,14
1,1,10,12,17,66,71
1,1,10,19,30,54,59
1,2,3,4,4,33,37
1,1,10,16,27,65,70
1,1,10,16,27,65,70
1,1,20,38,65,125,139
1,2,7,8,21,85,92
1,2,2,3,3,21,23
1,1,10,16,27,65,70
1,2,7,8,24,73,79
1,2,2,3,3,129,145
1,1,1,2,2,2,2
1,2,2,3,8,10,12
1,1,10,23,87,157,178
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,1,10,16,59,116,126
1,1,1,2,2,12,14
1,1,10,16,27,65,70
1,2,3,4,4,19,21
1,1,13,20,31,57,62
1,2,2,3,3,37,46
1,1,10,19,30,54,59
1,2,2,13,18,29,33
1,1,10,16,27,65,70
1,1,10,16,59,116,126
1,1,10,12,17,156,177
1,2,3,4,4,19,21
1,2,3,4,4,19,149
1,1,10,19,30,54,59
1,2,2,3,6,7,8
1,1,11,15,26,47,52
1,1,1,2,2,2,2
1,1,10,19,30,54,59
1,1,1,2,2,12,14
1,1,10,16,27,65,70
1,1,10,16,27,65,70
1,1,1,2,2,2,2
1,2,7,8,24,73,79
1,2,3,4,4,40,44
1,2,7,8,21,108,117
1,1,11,15,26,47,52
1,1,10,23,87,157,178
1,2,3,4,4,19,21
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,2,5,6,9,14,16
1,1,10,12,17,26,29
1,2,3,4,4,19,21
1,1,10,12,17,156,177
1,1,10,16,27,65,70
1,2,3,4,4,4,5
1,1,1,2,2,12,14
1,1,10,16,27,65,70
1,2,3,4,4,19,21
1,1,1,2,41,75,81
1,1,10,12,17,66,71
1,1,1,2,2,12,14
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,1,10,23,87,157,178
1,1,10,12,17,66,71
1,2,2,3,3,21,23
1,1,10,16,27,65,70
1,1,10,22,36,63,68
1,2,2,3,3,3,4
1,1,10,19,30,54,59
1,2,3,4,4,30,34
1,2,3,4,4,5,148
1,1,10,12,17,156,177
1,1,1,2,2,2,2
1,1,10,16,27,65,70
1,1,10,19,30,54,59
1,2,7,8,46,84,91
1,1,1,2,2,12,14
1,1,10,23,87,157,178
1,1,10,19,30,54,59
1,1,10,12,17,26,29
1,1,10,12,17,66,71
1,2,3,4,4,28,31
1,1,1,1,1,1,3
1,2,2,3,6,7,8
1,2,5,6,54,104,112
1,2,2,13,18,29,33
1,1,10,16,27,65,70
1,2,18,33,58,133,152
1,2,2,3,6,7,8
1,1,10,16,59,116,126
1,2,2,3,6,7,8
1,2,3,4,4,40,44
1,1,10,12,17,53,58
1,1,1,2,2,12,14
1,1,10,23,87,157,178
1,1,10,22,62,121,132
1,1,10,12,17,26,29
1,1,10,12,17,66,71
1,1,10,19,30,54,59
1,1,10,16,27,65,70
1,1,10,16,59,116,126
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,2,3,4,4,19,21
1,1,10,19,30,54,59
1,1,1,2,2,12,14
1,1,1,2,2,2,2
1,2,7,8,21,108,117
1,1,1,2,2,12,14
1,1,16,26,44,81,88
1,2,3,4,4,40,44
1,2,3,4,4,36,40
1,1,10,12,17,26,29
1,1,10,12,17,26,29
1,1,10,16,27,65,70
1,1,10,16,27,61,66
1,1,20,38,65,125,139
1,1,10,19,30,54,59
1,1,10,16,27,65,70
1,1,1,2,2,2,2
1,1,10,12,17,53,58
1,1,10,23,87,157,178
1,1,10,12,17,66,71
1,1,10,23,87,157,178
1,1,1,2,2,12,14
1,2,2,3,7,8,10
1,1,12,17,28,51,56
1,1,10,12,17,26,29
1,1,10,12,17,53,58
1,1,10,12,17,66,71
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,1,1,2,2,12,14
1,1,13,20,31,57,62
1,1,1,2,2,2,2
1,1,10,23,87,157,178
1,1,1,2,2,2,2
1,2,2,13,18,27,32
1,1,1,2,2,2,2
1,2,2,3,3,129,145
1,1,10,22,36,63,68
1,2,3,4,4,19,21
1,1,10,23,88,158,179
1,1,10,19,30,54,59
1,1,1,2,2,2,2
1,1,10,19,30,54,59
1,2,3,4,4,19,21
1,1,1,2,2,12,14
1,1,11,15,26,47,52
1,2,18,33,58,130,147
1,1,11,15,26,47,52
1,1,10,23,37,64,69
1,1,10,16,59,116,126
1,2,2,3,8,10,12
1,2,7,8,24,73,79
1,1,10,23,88,158,179
1,1,10,16,27,65,70
1,1,1,2,2,2,2
1,1,10,16,27,65,70
1,1,10,16,27,65,70
1,1,10,12,17,66,71
1,2,3,4,4,40,44
1,2,7,8,21,80,87
1,1,10,16,27,65,70
1,1,10,12,17,53,58
1,2,2,3,3,22,25
1,1,10,19,30,54,59
1,2,3,4,4,19,21
1,2,18,33,57,112,121
1,1,10,19,30,54,59
1,1,10,19,30,54,59
1,1,10,16,27,65,70
1,2,18,33,58,130,147
1,1,10,16,27,65,70
1,2,18,33,58,133,152
1,1,10,12,17,66,140
1,1,11,15,26,47,52
1,1,10,12,17,66,71
1,1,10,16,27,61,66
1,1,10,23,87,157,178
1,1,10,16,27,82,89
1,1,10,12,17,53,58
1,1,13,20,31,57,62
1,1,13,20,31,57,62
1,2,5,6,20,32,36
1,1,10,12,17,66,71
1,1,10,12,17,156,177
1,1,1,2,2,2,2
1,2,3,4,4,25,28
1,2,7,8,24,73,79
1,2,5,6,20,56,61
1,1,1,2,2,2,2
1,1,10,12,17,66,71
1,2,15,25,40,86,138
1,1,13,20,31,57,62
1,2,3,4,4,5,148
1,1,1,2,2,12,14
1,1,10,16,27,65,70
1,1,10,19,30,54,59
1,1,10,12,17,66,71
1,2,3,4,4,19,21
1,1,10,16,27,65,70
1,1,10,12,17,66,140
1,1,10,22,36,63,68
1,1,10,19,30,54,59
1,2,3,4,4,19,21
1,1,12,17,28,51,56
1,2,18,33,58,130,147
1,1,10,12,17,66,71
1,1,1,2,2,2,2
1,1,20,38,65,125,139
1,1,10,12,17,26,29
1,1,10,16,59,116,126
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,1,10,12,17,53,58
1,1,10,12,17,26,29
1,1,10,12,17,53,58
1,1,10,19,30,54,59
1,2,2,13,43,77,84
1,1,10,23,88,158,179
1,1,10,23,87,157,178
1,1,1,2,2,2,2
1,1,10,12,17,26,29
1,1,11,15,26,47,52
1,1,10,16,27,65,70
1,2,18,33,58,130,147
1,1,10,23,87,157,178
1,1,1,2,2,2,2
1,2,3,4,4,40,44
1,2,2,13,19,72,78
1,1,10,23,88,158,179
1,1,10,16,27,65,70
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,1,10,22,62,121,132
1,1,10,12,17,26,29
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,1,10,23,87,157,178
1,2,2,3,6,7,8
1,1,10,23,87,157,178
1,1,11,15,26,47,52
1,1,11,15,26,47,52
1,1,10,16,27,82,89
1,2,3,4,4,19,21
1,1,11,15,26,47,52
1,2,3,4,4,4,5
1,1,1,2,2,2,2
1,1,10,22,36,63,68
1,2,3,4,4,30,34
1,2,2,13,18,27,32
1,1,10,12,17,26,29
1,2,2,13,18,29,33
1,2,5,10,35,62,67
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,2,7,8,21,85,92
1,1,10,12,17,26,29
1,2,2,36,63,122,133
1,2,7,8,21,85,92
1,2,2,13,43,91,99
1,1,10,12,17,66,71
1,2,2,3,3,3,4
1,1,11,15,26,47,52
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,2,2,3,6,7,8
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,1,10,12,17,26,29
1,1,10,22,36,63,68
1,2,3,4,4,30,34
1,1,10,12,17,26,29
1,1,11,15,26,47,52
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,2,13,18,136,155
1,1,10,12,17,49,54
1,1,10,12,17,66,71
1,1,10,22,36,63,68
1,2,5,10,35,62,67
1,2,2,13,43,91,99
1,1,10,12,17,156,177
1,2,7,8,21,85,92
1,1,10,16,27,82,89
1,1,10,16,59,116,126
1,1,10,12,17,66,71
1,1,10,12,17,156,177
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,2,7,8,21,85,92
1,1,10,22,36,63,68
1,2,2,3,6,7,8
1,1,10,12,17,66,71
1,1,10,12,17,66,71
1,1,10,12,17,156,177
1,1,10,16,27,65,70
1,2,5,10,35,62,67
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,1,10,12,17,66,71
1,1,10,16,27,82,89
1,1,10,12,17,66,71
1,1,10,12,17,156,177
1,1,10,12,17,66,71
1,1,11,15,26,47,52
1,2,2,13,18,136,155
1,2,7,8,21,85,92
1,1,10,12,17,156,177
1,1,10,12,17,156,177
1,1,10,12,17,26,29
1,1,10,12,17,26,29
1,1,10,16,27,65,70
1,1,10,12,17,156,177
1,1,10,16,27,65,70
1,1,10,12,17,156,177
1,2,2,13,18,136,155
1,2,2,3,3,37,46
1,2,5,10,35,62,67
1,1,10,12,17,156,177
1,1,10,12,17,66,140
1,1,10,12,17,66,71
1,2,3,4,4,131,150
1,2,2,3,3,37,46
1,1,10,12,17,66,71
1,2,7,8,21,85,92
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,1,10,12,17,49,54
1,1,10,12,17,66,71
1,1,10,12,17,156,177
1,2,3,4,4,69,75
1,1,10,22,36,63,68
1,1,10,16,59,116,126
1,1,10,12,17,156,177
1,2,5,10,35,62,67
1,1,10,12,17,156,177
1,1,10,12,17,156,177
1,2,3,4,4,19,21
1,1,11,15,26,47,52
1,1,10,12,17,66,71
1,1,11,15,26,47,52
1,1,10,12,17,53,58
1,1,10,12,17,156,177
1,1,10,12,17,66,71
1,1,10,16,27,65,70
1,2,5,10,35,62,67
1,1,10,16,27,65,70
1,1,10,12,17,66,71
1,1,10,22,36,63,68
1,1,10,12,17,66,71
1,1,10,16,27,82,89
1,1,10,12,17,66,71
